dimension,option,keywords
impact,societal_impact,societal impact social change quality of life public welfare ethical considerations community benefit
impact,interdisciplinary_impact,interdisciplinary impact cross disciplinary bridge field integration diverse audience broad relevance
impact,education_impact,education impact pedagogical value teaching tool student learning curriculum improvement educational resource
impact,open_source_community,open source community code sharing collaborative development reproduceability tool availability community building
data_type,panel_data,panel data longitudinal data cross sectional time series repeated measures fixed effects random effects
data_type,cross_sectional_data,cross sectional data snapshot survey data individual observations single time point population sample
data_type,time_series_data,time series data temporal data historical data sequential observations trends seasonality
data_type,image_data,image data computer vision dataset pixels visual information rgb channels raster graphics
data_type,text_data,text data natural language corpus unstructured text documents linguistic data words tokens
data_type,network_data,network data graph data adjacency matrix edge list nodes and links relational data
data_type,spatial_data,spatial data geospatial information gis coordinates maps raster vector data location based
data_type,genomic_data,genomic data dna sequences gene expression profiles snp data bioinformatics datasets omics data
data_type,clinical_data,clinical data electronic health records patient records medical history diagnostic results treatment outcomes
application,healthcare,healthcare medical application hospital management patient monitoring health informatics telemedicine
application,transportation,transportation traffic management logistics autonomous vehicles public transit mobility smart transport
application,smart_city,smart city urban infrastructure iot sensors sustainable living citizen services urban management
application,industry_4_0,industry 4.0 smart manufacturing industrial iot automation predictive maintenance cyber physical systems
application,social_media,social media online networks user behavior content moderation virality analysis digital communication
